#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string
#default,last,,,,,,,,
,result,table,_start,_stop,_time,_value,DAS,_field,_measurement
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:39:55Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:40:00Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:40:05Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:40:10Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:40:15Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:40:20Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:40:25Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:40:30Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:40:35Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:40:40Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:40:45Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:40:50Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:40:55Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:41:00Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:41:05Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:41:10Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:41:15Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:41:20Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:41:25Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:41:30Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:41:35Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:41:40Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:41:45Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:41:50Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:41:55Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:42:00Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:42:05Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:42:10Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:42:15Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:42:20Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:42:25Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:42:30Z,0.64,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:42:35Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:42:40Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:42:45Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:42:50Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:42:55Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:00Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:05Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:10Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:15Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:20Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:25Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:30Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:35Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:40Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:45Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:50Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:55Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:00Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:05Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:10Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:15Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:20Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:25Z,0.00,LMM,corrente,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:30Z,0.00,LMM,corrente,Sensores
